crop_name,season,soil_type,suitable_regions,planting_time,yield_per_acre_tons
Wheat,Monsoon,Sandy,Khulna,November-December,1.33
Jute,Winter,Silt,Sylhet,March-April,0.83
Spices,Summer,Sandy,Khulna,August-September,21.9
Maize,Autumn,Sandy,Chattogram,October-November,4.13
Spices,Summer,Clay,Barishal,April-May,21.0
Maize,Autumn,Clay,Khulna,October-November,4.13
Maize,Summer,Silt,Barishal,February-March,4.13
Vegetables,Summer,Sandy,Rajshahi,February-March,25.3
Tea,Autumn,Sandy,Sylhet,February-April,1.2
Spices,Monsoon,Sandy,Chattogram,June-July,22.5
Spices,Autumn,Sandy,Mymensingh,September-October,31.4
Jute,Winter,Silt,Mymensingh,March-April,0.83
Jute,Autumn,Peaty,Dhaka,March-April,0.83
Maize,Winter,Loamy,Khulna,November-December,4.13
Wheat,Monsoon,Loamy,Rangpur,November-December,1.33
Vegetables,Summer,Loamy,Rangpur,February-March,26.4
Vegetables,Monsoon,Silt,Rangpur,June-July,25.1
Wheat,Summer,Loamy,Khulna,November-December,1.33
Vegetables,Autumn,Clay,Chattogram,October-November,30.5
Wheat,Winter,Loamy,Rajshahi,November-December,1.33
Wheat,Monsoon,Loamy,Chattogram,November-December,1.33
Rice,Summer,Clay,Dhaka,December-January,2.5
Vegetables,Monsoon,Sandy,Sylhet,June-July,20.4
Spices,Autumn,Clay,Mymensingh,September-October,28.8
Spices,Winter,Silt,Khulna,October-November,28.9
Rice,Autumn,Sandy,Rajshahi,March-April,2.8
Vegetables,Summer,Peaty,Dhaka,February-March,32.5
Tea,Autumn,Peaty,Dhaka,February-April,1.2
Rice,Autumn,Clay,Mymensingh,March-April,2.8
Vegetables,Autumn,Sandy,Dhaka,October-November,26.3
Spices,Winter,Loamy,Dhaka,October-November,30.4
Wheat,Summer,Clay,Chattogram,October-November,1.33
Jute,Autumn,Loamy,Chattogram,March-April,0.83
Spices,Winter,Clay,Rangpur,October-November,27.2
Tea,Autumn,Sandy,Chattogram,February-April,1.2
Spices,Autumn,Loamy,Sylhet,September-October,25.8
Vegetables,Winter,Sandy,Khulna,October-November,22.5
Spices,Winter,Loamy,Chattogram,October-November,34.0
Rice,Summer,Loamy,Mymensingh,December-January,2.5
Vegetables,Summer,Silt,Chattogram,February-March,23.3
Maize,Summer,Sandy,Chattogram,February-March,4.13
Maize,Winter,Peaty,Mymensingh,November-December,4.13
Maize,Winter,Loamy,Chattogram,November-December,4.13
Spices,Summer,Loamy,Barishal,April-May,20.3
Jute,Winter,Clay,Chattogram,March-April,0.83
Jute,Summer,Clay,Rangpur,February-March,25.6
Rice,Summer,Sandy,Rajshahi,December-January,2.5
Wheat,Winter,Sandy,Sylhet,November-December,1.33
Maize,Summer,Silt,Khulna,July-August,28.2
Rice,Winter,Sandy,Rajshahi,November-December,28.0
Vegetables,Winter,Sandy,Dhaka,August-September,32.6
Wheat,Autumn,Silt,Dhaka,September-October,30.9
Vegetables,Summer,Peaty,Dhaka,January-February,32.0
Vegetables,Summer,Peaty,Rajshahi,April-May,24.4
Rice,Monsoon,Sandy,Barishal,April-May,31.8
Maize,Monsoon,Loamy,Sylhet,June-July,29.8
Jute,Monsoon,Peaty,Rangpur,August-September,22.0
Wheat,Monsoon,Peaty,Dhaka,September-October,28.6
Jute,Monsoon,Clay,Rangpur,February-March,26.7
Rice,Summer,Sandy,Sylhet,June-July,32.9
Spices,Summer,Clay,Rangpur,January-February,30.7
Rice,Monsoon,Loamy,Sylhet,May-June,33.7
Maize,Summer,Sandy,Mymensingh,July-August,27.0
Spices,Summer,Silt,Sylhet,September-October,27.5
Maize,Winter,Sandy,Mymensingh,January-February,23.1
Vegetables,Summer,Sandy,Chattogram,November-December,30.9
Spices,Autumn,Clay,Chattogram,July-August,32.3
Tea,Winter,Sandy,Rajshahi,March-April,0.025
Jute,Monsoon,Loamy,Barishal,March-April,28.6
Maize,Monsoon,Clay,Mymensingh,April-May,23.0
Jute,Summer,Loamy,Rajshahi,February–March,26.5
Wheat,Winter,Peaty,Barishal,March-April,21.9
Jute,Monsoon,Loamy,Sylhet,November-December,23.4
Maize,Autumn,Loamy,Mymensingh,April-May,31.0
Vegetables,Monsoon,Loamy,Rangpur,May-June,20.9
Spices,Summer,Clay,Khulna,August-September,21.6
Tea,Winter,Loamy,Dhaka,October-November,0.0273
Vegetables,Winter,Silt,Rajshahi,May-June,23.5
Tea,Monsoon,Clay,Barishal,February-March,0.031
Tea,Summer,Sandy,Rangpur,July-August,0.0248
Vegetables,Winter,Sandy,Rajshahi,August-September,22.9
Spices,Winter,Peaty,Chattogram,February-March,25.9
Spices,Autumn,Silt,Sylhet,June-July,24.6
Wheat,Autumn,Sandy,Sylhet,August-September,27.3
Wheat,Summer,Sandy,Rajshahi,January-February,25.0
Jute,Autumn,Peaty,Sylhet,September-October,34.5
Wheat,Winter,Silt,Chattogram,December-January,28.3
Spices,Monsoon,Clay,Dhaka,October-November,22.8
Rice,Autumn,Peaty,Sylhet,April-May,20.9
Vegetables,Summer,Peaty,Barishal,April-May,28.6
Maize,Monsoon,Loamy,Rangpur,December-January,34.8
Spices,Monsoon,Sandy,Sylhet,November-December,27.1
Tea,Monsoon,Clay,Chattogram,January-February,0.0216
Rice,Summer,Peaty,Rangpur,February-March,23.1
Vegetables,Monsoon,Sandy,Mymensingh,September-October,25.9
Spices,Monsoon,Loamy,Rangpur,November-December,31.8
Maize,Winter,Sandy,Rangpur,July-August,25.1
Wheat,Winter,Clay,Barishal,September-October,32.6
Maize,Autumn,Sandy,Rajshahi,February-March,28.4
Wheat,Summer,Clay,Khulna,October-November,28.4
Spices,Autumn,Clay,Dhaka,February-March,32.1
Maize,Winter,Clay,Chattogram,February-March,34.0
Rice,Autumn,Silt,Chattogram,August-September,26.2
Tea,Summer,Clay,Barishal,July-August,0.0319
Wheat,Summer,Loamy,Rangpur,June-July,25.8
Maize,Monsoon,Loamy,Khulna,July-August,27.3
Tea,Autumn,Sandy,Sylhet,October-November,0.0298
Vegetables,Autumn,Loamy,Sylhet,October-November,31.6
Spices,Summer,Peaty,Mymensingh,January-February,21.7
Maize,Winter,Clay,Dhaka,June-July,33.7
Rice,Autumn,Loamy,Chattogram,October-November,28.9
Maize,Monsoon,Sandy,Khulna,July-August,22.1
Rice,Summer,Peaty,Sylhet,June-July,0.86
Tea,Summer,Peaty,Rangpur,March-April,0.71
Vegetables,Winter,Peaty,Dhaka,October-November,4.12
Wheat,Summer,Silt,Chattogram,November-December,1.2
Jute,Summer,Peaty,Rajshahi,March-April,1.5
Wheat,Monsoon,Clay,Khulna,November-December,1.2
Spices,Summer,Loamy,Rajshahi,April-May,0.8
Spices,Autumn,Loamy,Rangpur,September-October,0.8
Tea,Monsoon,Peaty,Barishal,March-April,0.71
Tea,Summer,Loamy,Rajshahi,March-April,0.71
Vegetables,Autumn,Loamy,Mymensingh,August-September,4.12
Wheat,Autumn,Loamy,Sylhet,November-December,1.2
Spices,Summer,Sandy,Sylhet,April-May,0.8
Wheat,Monsoon,Silt,Rangpur,November-December,1.2
Wheat,Monsoon,Loamy,Rangpur,November-December,1.2
Maize,Monsoon,Silt,Sylhet,May-June,1.5
Vegetables,Summer,Peaty,Khulna,March-April,4.12
Vegetables,Summer,Peaty,Rajshahi,March-April,4.12
Wheat,Summer,Silt,Chattogram,November-December,1.2
Spices,Monsoon,Sandy,Barishal,April-May,0.8
Spices,Winter,Loamy,Khulna,October-November,0.8
Wheat,Autumn,Clay,Barishal,November-December,1.2
Tea,Monsoon,Silt,Rajshahi,March-April,0.71
Wheat,Summer,Loamy,Mymensingh,November-December,1.2
Tea,Autumn,Sandy,Barishal,August-September,0.71
Spices,Winter,Sandy,Rajshahi,October-November,0.8
Maize,Autumn,Clay,Khulna,August-September,1.5
Spices,Autumn,Peaty,Rajshahi,September-October,0.8
Tea,Summer,Sandy,Barishal,March-April,0.71
Wheat,Summer,Silt,Sylhet,November-December,1.2
Spices,Autumn,Silt,Rangpur,September-October,0.8
Vegetables,Summer,Loamy,Dhaka,March-April,4.12
Wheat,Winter,Sandy,Barishal,November-December,1.2
Tea,Summer,Clay,Rajshahi,March-April,0.71
Rice,Autumn,Sandy,Sylhet,October-November,0.86
Tea,Monsoon,Silt,Rangpur,March-April,0.71
Vegetables,Summer,Clay,Rangpur,March-April,4.12
Wheat,Monsoon,Silt,Chattogram,November-December,1.2
Tea,Monsoon,Loamy,Rajshahi,March-April,0.71
Jute,Autumn,Loamy,Khulna,July-August,1.5
Rice,Winter,Peaty,Rajshahi,November-December,0.86
Wheat,Monsoon,Silt,Sylhet,November-December,1.2
Vegetables,Monsoon,Silt,Rangpur,May-June,4.12
Tea,Winter,Clay,Sylhet,November-December,0.71
Tea,Summer,Clay,Rangpur,March-April,0.71
Spices,Autumn,Peaty,Rajshahi,September-October,0.8
Jute,Summer,Peaty,Mymensingh,March-April,1.5
Spices,Summer,Silt,Chattogram,April-May,0.8
Vegetables,Summer,Loamy,Dhaka,March-April,4.12
Spices,Monsoon,Peaty,Rajshahi,April-May,0.8
Tea,Summer,Loamy,Rajshahi,March-April,0.71
Tea,Summer,Clay,Rangpur,March-April,0.71
Tea,Summer,Sandy,Rajshahi,March-April,0.71
Jute,Monsoon,Silt,Chattogram,March-April,1.5
Rice,Monsoon,Sandy,Mymensingh,June-July,0.86
Spices,Summer,Clay,Chattogram,April-May,0.8
Rice,Autumn,Clay,Chattogram,October-November,0.86
Maize,Autumn,Clay,Rajshahi,August-September,1.5
Vegetables,Winter,Silt,Khulna,October-November,4.12
Tea,Summer,Clay,Barishal,March-April,0.71
Rice,Monsoon,Loamy,Barishal,June-July,0.86
Tea,Autumn,Peaty,Barishal,August-September,0.71
Jute,Summer,Silt,Barishal,March-April,1.5
Maize,Winter,Clay,Sylhet,November-December,1.5
Vegetables,Monsoon,Loamy,Rajshahi,May-June,4.12
Tea,Summer,Silt,Khulna,March-April,0.71
Vegetables,Summer,Silt,Chattogram,March-April,4.12
Vegetables,Monsoon,Clay,Mymensingh,May-June,4.12
Tea,Monsoon,Clay,Sylhet,March-April,0.71
Maize,Monsoon,Clay,Barishal,May-June,1.5
Maize,Autumn,Peaty,Barishal,August-September,1.5
Wheat,Winter,Silt,Sylhet,November-December,1.2
Wheat,Monsoon,Clay,Barishal,November-December,1.2
Wheat,Winter,Peaty,Mymensingh,November-December,1.2
Maize,Winter,Silt,Khulna,November-December,1.5
Wheat,Monsoon,Sandy,Rangpur,November-December,1.2
Wheat,Autumn,Loamy,Khulna,November-December,1.2
Spices,Summer,Silt,Chattogram,April-May,0.8
Vegetables,Summer,Loamy,Rangpur,March-April,4.12
Jute,Winter,Clay,Rangpur,November-December,1.5
Jute,Winter,Silt,Rajshahi,November-December,1.5
Vegetables,Monsoon,Clay,Chattogram,May-June,4.12
Tea,Autumn,Loamy,Rajshahi,August-September,0.71
Tea,Monsoon,Silt,Khulna,March-April,0.71
Jute,Summer,Peaty,Dhaka,March-April,1.5
Vegetables,Winter,Silt,Rajshahi,October-November,4.12
Tea,Monsoon,Peaty,Rajshahi,March-April,0.71
Spices,Autumn,Clay,Khulna,September-October,0.8
Spices,Summer,Peaty,Rajshahi,April-May,0.8
Tea,Winter,Loamy,Chattogram,November-December,0.71
Jute,Monsoon,Loamy,Sylhet,March-April,1.5
Vegetables,Summer,Sandy,Sylhet,March-April,4.12
Tea,Autumn,Peaty,Rangpur,August-September,0.71
Maize,Autumn,Clay,Barishal,August-September,1.5
Tea,Monsoon,Silt,Sylhet,March-April,0.71
Tea,Autumn,Silt,Mymensingh,August-September,0.71
Vegetables,Monsoon,Clay,Barishal,May-June,4.12
Maize,Autumn,Peaty,Barishal,August-September,1.5
Maize,Monsoon,Sandy,Barishal,May-June,1.5
Vegetables,Monsoon,Silt,Barishal,May-June,4.12
Tea,Monsoon,Clay,Rangpur,March-April,0.71
Tea,Summer,Silt,Barishal,March-April,0.71
